Name,Card Code,Collections,Albums (from Collections),Rarity,Energy,Power,Ability Title,Ability (Override)
Bushido,HFJ010,Feudal Japan,History,Common,7,7,Loyalty,"<indent=1em>:play:</indent><indent=2em>If your opponent <nobr>Attacks :attack:</nobr> this turn, lose <nobr>-7 Hero :attack:</nobr> and <nobr>force :attack:</nobr> this turn.</indent>"
Chain Catshark,NSH015,Sharks,Nature,Common,6,5,Chain Attack,"<indent=1em>:play:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> last turn, gain <nobr>+1 Hero :attack:</nobr>.</indent>"
Cerberus,CGM015,Greek Mythology,Culture,Common,4,4,Underdog,"<indent=1em>:play:</indent><indent=2em>If played with Hades, this card gains +4 :attack: this turn.</indent>"
Henry Morgan,HAP006,Age of Piracy,History,Rare,8,8,Loot,"<indent=1em>:draw:</indent><indent=2em>If you did not <nobr>Attack :attack:</nobr> last turn, this card costs <nobr>-4 :energy:</nobr> this turn.</indent>"
Hecate,CGM004,Greek Mythology,Culture,Rare,8,6,Soteira,"<indent=1em>:play:</indent><indent=2em>If your opponent has 100% :health:, this card gains +3 :attack: permanently.</indent>"
Black Panther,NFE002,Felines,Nature,Epic,5,4,Palette Swap,"<indent=1em>:play:</indent><indent=2em>If you are <nobr>Attacking :attack:</nobr>, gain <nobr>+8 :shield:</nobr>.</indent>"
Grand Prismatic Spring,NNM009,Natural Monuments,Nature,Common,3,1,No Swimming,<indent=1em>:draw:</indent><indent=2em>Gain <nobr>+2 :energy:</nobr>.</indent>
Muscle,SAN006,Anatomy,Science,Rare,5,10,Sweet Gains,<indent=1em>:turnstart:</indent><indent=2em>This card loses <nobr>-2 :attack:</nobr> permanently.</indent>
Book of the Dead,HAE007,Ancient Egypt,History,Rare,5,8,Journey of Death,<indent=1em>:play:</indent><indent=2em>Lose <nobr>-2 :health:</nobr>.</indent>
Tomoe Gozen,HFJ005,Feudal Japan,History,Rare,7,5,Headstrong,"<indent=1em>:draw:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> last turn, a random Feudal Japan card in your hand costs <nobr>-5 :energy:</nobr> permanently.</indent>"
Ratatouille,CFD003,Food and Drink,Culture,Epic,4,4,Simmer,"<indent=1em>:play:</indent><indent=2em>If this card is <nobr>Burning :burn:</nobr> at the start of this turn, this card gains <nobr>+4 :attack:</nobr> this turn.</indent>"
Marie Skłodowska-Curie,SST003,STEM Stars,Science,Epic,4,4,Fear Less,"<indent=1em>:return:</indent><indent=2em>Gain <nobr>+2 Hero :attack:</nobr>, and this card loses <nobr>-1 :attack:</nobr> permanently.</indent>"
Harpies,CGM013,Greek Mythology,Culture,Common,4,3,Storm Winds,"<indent=1em>:return:</indent><indent=2em>A random card in either player's hand gains +1 :attack:, and a random card in either player's hand costs +1 :energy:.</indent>"
Coelophysis,NDI014,Dinosaurs,Nature,Common,3,3,Hollow Body,"<indent=1em>:play:</indent><indent=2em>If played adjacent to no other cards, gain <nobr>+3 Hero :attack:</nobr>.</indent>"
Queen Anne’s Revenge,HAP005,Age of Piracy,History,Rare,7,7,Flagship,"<indent=1em>:play:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> last turn, gain <nobr>+5 Hero :attack:</nobr> and lose <nobr>-5 :health:</nobr>.</indent>"
Solar Eclipse,SSS014,The Solar System,Science,Common,2,4,Total Eclipse,"<indent=1em>:play:</indent><indent=2em>If played between The Sun and The Moon, gain <nobr>+10 :shield:</nobr>.</indent>"
Florence Nightingale,SST015,STEM Stars,Science,Common,4,2,Lady with the Lamp,"<indent=1em>:return:</indent><indent=2em>If any player was <nobr>Attacked :attack:</nobr> this turn, restore <nobr>+4 :health:</nobr> to that player.</indent>"
Saturn,SSS002,The Solar System,Science,Epic,6,6,Ringside,<indent=1em>:turnstart:</indent><indent=2em>Restore <nobr>+2 :health:</nobr>.</indent>
Titanosaurus,NDI004,Dinosaurs,Nature,Rare,5,3,Clash of Titans,"<indent=1em>:play:</indent><indent=2em>If played next to Titan, Moon of Saturn, both cards gain <nobr>+3 :attack:</nobr> this turn.</indent>"
Triceratops,NDI001,Dinosaurs,Nature,Legendary,8,4,Three-Horned Face,"<indent=1em>:play:</indent><indent=2em>If played in the centre, your cards in hand gain <nobr>+3 :attack:</nobr> this turn.</indent>"
Library of Celsus,HRE014,The Roman Empire,History,Common,3,3,Ex libris,"<indent=1em>:draw:</indent><indent=2em>For every time you have played Library of Celsus, restore <nobr>+2 :health:</nobr>.</indent>"
Matterhorn,NNM007,Natural Monuments,Nature,Rare,5,4,Meadow's Peak,"<indent=1em>:play:</indent><indent=2em>For every time you have you played this card, gain <nobr>+1 Hero :attack:</nobr>.</indent>"
Norwegian Forest Cat,NFE012,Felines,Nature,Common,3,2,Intermeowtional,"<indent=1em>:play:</indent><indent=2em>If played next to Scottish Fold, gain <nobr>+4 :shield:</nobr>.</indent>"
Claudius,HRE006,The Roman Empire,History,Rare,3,2,Para bellum,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+6 :shield:</nobr>.</indent>
Persian,NFE015,Felines,Nature,Common,3,3,Flat Faced,<indent=1em>:return:</indent><indent=2em>This card and the card opposite cost <nobr>+1 :energy:</nobr> until played</indent>
Ise Grand Shrine,HFJ014,Feudal Japan,History,Common,4,3,Jingū,"<indent=1em>:play:</indent><indent=2em>If played with The Sun, gain <nobr>+4 Hero :attack:</nobr>.</indent>"
Sushi,CFD002,Food and Drink,Culture,Epic,7,6,Served Fresh,<indent=1em>:draw:</indent><indent=2em><nobr>Freeze :freeze:</nobr> a random card in each player's hand for 2 turns.</indent>
Copper,SPT005,The Periodic Table,Science,Rare,5,3,Native Metal,"<indent=1em>:play:</indent><indent=2em>If you have 15 or less <nobr>:health:</nobr> remaining, gain <nobr>+10 Hero :attack:</nobr>.</indent>"
Brothers Grimm,CLI009,Literature,Culture,Common,6,5,A Rare Happy Ending,"<indent=1em>:play:</indent><indent=2em>For every turn since you last <nobr>Attacked :attack:</nobr>, your Hansel and Gretel card gains <nobr>+1 :attack:</nobr> until played.</indent>"
Grog,HAP010,Age of Piracy,History,Common,5,5,Rationing,"<indent=1em>:draw:</indent><indent=2em>5 random cards in either player's hand gain <nobr>+1 :attack:</nobr> permanently, and this card loses <nobr>-5 :attack:</nobr> until played.</indent>"
Pandora,CGM010,Greek Mythology,Culture,Common,6,5,Boxed In,"<indent=1em>:play:</indent><indent=2em>If played in the centre, gain +2 Hero :attack:.</indent>"
Charles Babbage,SST009,STEM Stars,Science,Common,5,4,Make a Difference,<indent=1em>:draw:</indent><indent=2em>Both players lose <nobr>-1 :charge:</nobr>.</indent>
Zeus,CHE001,Heroes of Culture,Culture,Hero,0,80,Godmode,"For every time you have <nobr>Attacked :attack:</nobr> this game, your cards in-hand gain <nobr>+1 :attack:</nobr> this turn. <nobr>[3 :charge:]</nobr>"
Augustus,HRE003,The Roman Empire,History,Epic,5,4,Pax Romana,"<indent=1em>:draw:</indent><indent=2em>If you have more <nobr>Hero :attack:</nobr> than your opponent this turn, your The Roman Empire cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Naginata,HFJ013,Feudal Japan,History,Common,3,1,Mowing Sword,<indent=1em>:play:</indent><indent=2em>Your opponent's cards lose <nobr>-1 :attack:</nobr> this turn.</indent>
Pyramid Texts,HAE011,Ancient Egypt,History,Common,5,3,Pharaohs Only,<indent=1em>:draw:</indent><indent=2em>Your Epic+ Ancient Egypt cards cost <nobr>-1 :energy:</nobr> until played.</indent>
Sand Tiger Shark,NSH005,Sharks,Nature,Rare,4,2,Surface for Air,<indent=1em>:draw:</indent><indent=2em>All Common cards in both player's hands gain <nobr>+3 :attack:</nobr> this turn.</indent>
Ragdoll,NFE006,Felines,Nature,Rare,3,2,Dog-Like,"<indent=1em>:play:</indent><indent=2em>If neither player <nobr>attacked :attack:</nobr> this turn, your cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Samurai,HFJ016,Feudal Japan,History,Fusion,8,8,Ruling Class,"<indent=1em>:return:</indent><indent=2em>If your deck contains 8 or more Feudal Japan cards, your non-Feudal Japan cards gain <nobr>+3 :attack:</nobr> until played.</indent>"
Ijen,NNM014,Natural Monuments,Nature,Common,5,5,Blue Fire,<indent=1em>:draw:</indent><indent=2em><nobr>Burn :burn: (-1)</nobr> your opponent's cards in hand until played.</indent>
Hydrogen,SPT001,The Periodic Table,Science,Legendary,1,1,Abundance,"<indent=1em>:play:</indent><indent=2em>For every The Periodic Table card you have played this game, up to a maximum of 10, restore <nobr>+1 :health:</nobr>.</indent>"
Calico Jack,HAP004,Age of Piracy,History,Rare,7,5,Partners In Plunder,"<indent=1em>:return:</indent><indent=2em>If both players <nobr>Attacked :attack:</nobr> this turn, your opponent loses <nobr>-5 :health:</nobr>.</indent>"
Lungs,SAN002,Anatomy,Science,Epic,3,2,Take a Breath,"<indent=1em>:return:</indent><indent=2em>For every time you have played Lungs this game, restore <nobr>+3 :health:</nobr>.</indent>"
Agatha Christie,CLI008,Literature,Culture,Common,4,3,Queen of Crime,"<indent=1em>:draw:</indent><indent=2em>For every time your opponent has <nobr>attacked :attack:</nobr>, gain <nobr>+1 :shield:</nobr>.</indent>"
Canopic Jars,HAE009,Ancient Egypt,History,Common,4,1,Viscera,"<indent=1em>:play:</indent><indent=2em>If played next to Lungs, your cards in hand gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Malleus Maleficarum,CTO013,The Occult,Culture,Common,5,3,Hammer of Witches,"<indent=1em>:draw:</indent><indent=2em>For every The Occult card in your hand, this card gains <nobr>+1 :attack:</nobr> this turn.</indent>"
Sherlock Holmes,CLI012,Literature,Culture,Common,5,6,Elementary,"<indent=1em>:play:</indent><indent=2em>If played next to Arthur Conan Doyle, gain <nobr>+1 Hero :attack:</nobr> and <nobr>+1 :shield:</nobr>.</indent>"
Emilie Du Chatalet,SST012,STEM Stars,Science,Common,4,5,Foundational,"<indent=1em>:play:</indent><indent=2em>If you have played Sir Isaac Newton this game, gain <nobr>+3 Hero :attack:</nobr>.</indent>"
The Flying Dutchman,HAP007,Age of Piracy,History,Rare,7,4,Dead Voyage,"<indent=1em>:draw:</indent><indent=2em>If it has been 2 or more turns since you last <nobr>Attacked :attack:</nobr>, gain <nobr>+1 :charge:</nobr> and <nobr>+1 Hero :attack:</nobr>.</indent>"
Mercury,SSS006,The Solar System,Science,Rare,3,2,Inner System,"<indent=1em>:return:</indent><indent=2em>For every time you have played Venus and Mars this game, restore <nobr>+1 :health:</nobr>.</indent>"
Venus,SSS004,The Solar System,Science,Rare,3,2,Inner System,"<indent=1em>:return:</indent><indent=2em>For every time you have played Mars and Mercury this game, restore <nobr>+1 :health:</nobr></indent>"
Achilles Tendon,SAN011,Anatomy,Science,Common,2,2,Weak Spot,<indent=1em>:play:</indent><indent=2em>Your Achilles card gains <nobr>+1 :attack:</nobr> permanently. Lose <nobr>-1 :health:</nobr>.</indent>
Kirkjufell,NNM013,Natural Monuments,Nature,Common,7,4,Arrowhead,"<indent=1em>:play:</indent><indent=2em>If your opponent has at least <nobr>6 :shield:</nobr>, they lose <nobr>-4 :health:</nobr>.</indent>"
The Colosseum,HRE005,The Roman Empire,History,Rare,6,5,Panem et circenses,"<indent=1em>:play:</indent><indent=2em>Your Gladiator card gains <nobr>+2 :attack:</nobr> this turn, and <nobr>Force :attack:</nobr> both players to Attack.</indent>"
Robert Louis Stevenson,CLI005,Literature,Culture,Rare,3,2,Hand Played Well,"<indent=1em>:play:</indent><indent=2em>If played on the left, gain <nobr>+3 Hero :attack:</nobr>. If played on the right, gain <nobr>+5 :shield:</nobr>.</indent>"
Tongue,SAN004,Anatomy,Science,Rare,6,4,Good Taste,"<indent=1em>:play:</indent><indent=2em>If you are <nobr>Attacking :attack:</nobr> this turn, <nobr>force :attack:</nobr> your opponent to Attack this turn.</indent>"
Kilauea,NNM015,Natural Monuments,Nature,Common,4,3,Shield Volcano,"<indent=1em>:play:</indent><indent=2em>For every time you have played this card, gain <nobr>+2 :shield:</nobr>.</indent>"
Great White Shark,NHE003,Heroes of Nature,Nature,Hero,0,80,Toothy Smile,Your opponent's cards in hand lose <nobr>-3 :attack:</nobr> this turn. <nobr>[3 :charge:]</nobr>
Carbon,SPT003,The Periodic Table,Science,Epic,6,5,Covalent Bonding,<indent=1em>:draw:</indent><indent=2em>2 random Common cards in hand gain <nobr>+2 :attack:</nobr> until played.</indent>
Cherry,CFD013,Food and Drink,Culture,Common,3,1,Drupe,"<indent=1em>:draw:</indent><indent=2em>If you have <nobr>20 :health:</nobr> or less, gain <nobr>+8 :shield:</nobr>.</indent>"
Clipeus,HRE013,The Roman Empire,History,Common,2,0,... tibi scutum sum,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+3 :shield:</nobr>.</indent>
Ninja,HFJ001,Feudal Japan,History,Legendary,4,3,Deceiver,"<indent=1em>:draw:</indent><indent=2em>Lose <nobr>-20 :health:</nobr>, and give your cards with 3 or less Base <nobr>:energy:</nobr> +2 <nobr>:attack:</nobr> permanently.</indent>"
Keelhauling,HAP011,Age of Piracy,History,Common,8,4,Drag,<indent=1em>:turnstart:</indent><indent=2em>This card gains <nobr>+1 :attack:</nobr> until played.</indent>
Pyjama Shark,NSH010,Sharks,Nature,Common,3,5,Opportunistic,"<indent=1em>:draw:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> last turn, they gain <nobr>+3 :energy:</nobr>.</indent>"
Digestive System,SAN010,Anatomy,Science,Common,2,1,In Digestion,"<indent=1em>:play:</indent><indent=2em>If played next to Teeth, gain <nobr>+2 :shield:</nobr>.</indent>"
Whale Shark,NSH013,Sharks,Nature,Common,8,10,Filter Feeding,<indent=1em>:return:</indent><indent=2em>This card costs <nobr>+1 :energy:</nobr> permanently.</indent>
Ganymede,SSS011,The Solar System,Science,Common,4,2,Magnetic Field,"<indent=1em>:play:</indent><indent=2em>If you are above 50% <nobr>:health:</nobr>, your Jupiter card in hand gains <nobr>+7 :attack:</nobr> permanently.</indent>"
Captain Kidd,HAP003,Age of Piracy,History,Epic,5,2,Privateering,"<indent=1em>:play:</indent><indent=2em>For every turn since you last <nobr>Attacked :attack:</nobr>, your Age of Piracy cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
Blue Shark,NSH004,Sharks,Nature,Rare,7,5,Ectothermic,"<indent=1em>:play:</indent><indent=2em>If your opponent did not <nobr>Attack :attack:</nobr> last turn, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Sir Isaac Newton,SST001,STEM Stars,Science,Legendary,6,4,Law Unto Himself,<indent=1em>:draw:</indent><indent=2em>Your Science cards with 3 or less Base <nobr>:attack:</nobr> gain <nobr>+2 :attack:</nobr> until played.</indent>
Nurse Shark,NSH014,Sharks,Nature,Common,7,6,Lazy Living,"<indent=1em>:return:</indent><indent=2em>If this is the only card you play this turn, your remaining Sharks cards in-hand gain <nobr>+2 :attack:</nobr> next turn.</indent>"
Donut,CFD008,Food and Drink,Culture,Common,2,2,Give Yourself a Present,"<indent=1em>:play:</indent><indent=2em>If played next to Coffee, your Nature cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
La Voisin,CTO012,The Occult,Culture,Common,7,4,Poisoned Promise,"<indent=1em>:return:</indent><indent=2em>For every time you have played La Voisin this game, your opponent loses <nobr>-2 :health:</nobr>.</indent>"
Bonnethead Shark,NSH006,Sharks,Nature,Rare,5,4,Littoraly,"<indent=1em>:play:</indent><indent=2em>If played adjacent to any non-Aquatic card, that card loses <nobr>-1 :attack:</nobr> this turn and this card gains <nobr>+2 :attack:</nobr> permanently.</indent>"
Charles Vane,HAP012,Age of Piracy,History,Common,5,5,Pardon Precluded,"<indent=1em>:play:</indent><indent=2em>If it's before Turn 4, both players lose <nobr>-5 :health:</nobr>.</indent>"
Roman Roads,HRE008,The Roman Empire,History,Common,5,3,Omnes viae Romam ducunt,"<indent=1em>:play:</indent><indent=2em>For every time you have played this card, your The Roman Empire cards in-hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Hamburger,CHE002,Heroes of Culture,Culture,Hero,0,70,King of Sandwiches,"For every Culture card in your hand, gain <nobr>+1 :shield:</nobr>, <nobr>+1 :health:</nobr>, and <nobr>+1 Hero :attack:</nobr>. <nobr>[3 :charge:]</nobr>"
Cornucopia,CFD016,Food and Drink,Culture,Fusion,5,5,Abundance,"<indent=1em>:play:</indent><indent=2em>If your deck contains 2 cards each from Science, Nature and History, your Food and Drink cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Thor’s Well,NNM005,Natural Monuments,Nature,Rare,6,4,Drainpipe of the Pacific,<indent=1em>:return:</indent><indent=2em>Your Aquatic cards gain <nobr>+2 :attack:</nobr> for 2 turns.</indent>
Cobalt,SPT014,The Periodic Table,Science,Common,5,2,Byproduct,"<indent=1em>:draw:</indent><indent=2em>If you have played Copper and Nickel this game, this card gains <nobr>+3 :attack:</nobr> until played.</indent>"
Blackbeard,HHE003,Heroes of History,History,Hero,0,80,All Cannons Fire!,"Both players <nobr>Force :attack:</nobr> Attack this turn, and your cards in hand gain <nobr>+2 :attack:</nobr> this turn. <nobr>[3 :charge:]</nobr>"
The Sun,SSS016,The Solar System,Science,Fusion,6,6,Life Support,"<indent=1em>:return:</indent><indent=2em>If your deck contains 4 or more Nature cards, your The Solar System cards gain <nobr>+2 :attack:</nobr> until played.</indent>"
Helium,SPT006,The Periodic Table,Science,Rare,2,2,Number 2,"<indent=1em>:play:</indent><indent=2em>If you have played Hydrogen this game, gain <nobr>+2 :shield:</nobr>.</indent>"
Wicker Man,CTO010,The Occult,Culture,Common,5,3,Sacrificial Fire,"<indent=1em>:draw:</indent><indent=2em>Your cards in hand <nobr>Burn :burn: (-1)</nobr> until played, and restore <nobr>+5 :health:</nobr>.</indent>"
Heracles,CGM007,Greek Mythology,Culture,Rare,6,12,Labors,<indent=1em>:return:</indent><indent=2em>This card loses -12 :attack: permanently.</indent>
Devil’s Tower,NNM010,Natural Monuments,Nature,Common,5,4,Sheer Drop,"<indent=1em>:return:</indent><indent=2em>If played next to Heaven’s Gate, restore <nobr>+4 :health:</nobr>.</indent>"
African Lion,NHE002,Heroes of Nature,Nature,Hero,0,70,Pride,"For every card with a Shield ability you have played this game, gain <nobr>+2 :shield:</nobr>. <nobr>[2 :charge:]</nobr>"
Jaguar,NFE004,Felines,Nature,Rare,5,5,Bite Force,"<indent=1em>:return:</indent><indent=2em>If both players <nobr>Attacked :attack:</nobr> this turn, all cards in both player's hands cost <nobr>-1 :energy:</nobr> until played.</indent>"
Hadrian’s Wall,HRE011,The Roman Empire,History,Common,5,4,Vallum Hadriani,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> this turn, gain <nobr>+5 :shield:</nobr>.</indent>"
Bengal Tiger,NFE001,Felines,Nature,Legendary,6,5,Go Get 'Em,"<indent=1em>:play:</indent><indent=2em>If your Hero has at least 50% <nobr>:health:</nobr>, 5 of your random Felines cards gain <nobr>+2 :attack:</nobr> until played.</indent>"
Treasure of Lima,HAP015,Age of Piracy,History,Common,3,1,Thar Be Treasure!,<indent=1em>:return:</indent><indent=2em>A random opponent's card remaining loses <nobr>-2 :attack:</nobr> next turn.</indent>
Colette,CLI010,Literature,Culture,Common,3,3,Lady of Letters,<indent=1em>:return:</indent><indent=2em>Gain <nobr>+2 Hero :attack:</nobr>.</indent>
Gladiator,HRE001,The Roman Empire,History,Legendary,6,7,Morituri te salutant,"<indent=1em>:return:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> for more than your opponent this turn, this card gains <nobr>+3 :attack:</nobr> permanently, otherwise this card loses <nobr>-3 :attack:</nobr> permanently.</indent>"
Stede Bonnet,HAP009,Age of Piracy,History,Common,9,9,Riches to Rags,"<indent=1em>:play:</indent><indent=2em>For every time you have <nobr>Attacked :attack:</nobr> this game, this card loses <nobr>-2 :attack:</nobr> permanently.</indent>"
Legionary Helmet,HRE012,The Roman Empire,History,Common,2,2,In omnia paratus,"<indent=1em>:play:</indent><indent=2em>If played adjacent to Gladius or Clipeus, this card gains <nobr>+4 :attack:</nobr> this turn.</indent>"
Leopard,NFE005,Felines,Nature,Rare,3,3,From The Shadows,<indent=1em>:return:</indent><indent=2em>Your Ninja card gains <nobr>+3 :attack:</nobr> next turn.</indent>
Larynx,SAN009,Anatomy,Science,Common,4,3,Voice Box,"<indent=1em>:play:</indent><indent=2em>If played next to Adam's Apple, gain <nobr>+5 :shield:</nobr>.</indent>"
Jupiter,SSS003,The Solar System,Science,Epic,5,5,Interacting Boundaries,"<indent=1em>:play:</indent><indent=2em>If played in the centre, reduce this card's Attack by <nobr>-5 :attack:</nobr> permanently and restore <nobr>+5 :health:</nobr>.</indent>"
Cheetah,NFE016,Felines,Nature,Fusion,4,3,Outrun,"<indent=1em>:draw:</indent><indent=2em>If your deck contains 1 card each from Culture and History, your Feline cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Gallimimus,NDI012,Dinosaurs,Nature,Common,8,5,Flocking This Way,<indent=1em>:return:</indent><indent=2em>Gain <nobr>+4 :energy:</nobr>.</indent>
Scottish Fold,NFE013,Felines,Nature,Common,3,2,Intermeowtional,"<indent=1em>:play:</indent><indent=2em>If played next to American Shorthair, gain <nobr>+2 :shield:</nobr> and <nobr>+2 Hero :attack:</nobr>.</indent>"
River Styx,CGM008,Greek Mythology,Culture,Common,6,5,Boundaries,"<indent=1em>:play:</indent><indent=2em> If you have Attacked this game, your Greek Mythology cards in-hand gain +1 :attack: this turn.</indent>"
Pizza,CFD001,Food and Drink,Culture,Legendary,3,2,Freshly Baked,<indent=1em>:turnstart:</indent><indent=2em>Your cards <nobr>Burning :burn:</nobr> at the start of this turn gain <nobr>+2 :attack:</nobr> until played.</indent>
Esophagus,SAN008,Anatomy,Science,Common,3,2,Food Tube,"<indent=1em>:play:</indent><indent=2em>If played next to Digestive System, restore <nobr>+2 :health:</nobr>.</indent>"
Coffee,CFD009,Food and Drink,Culture,Common,3,2,Moonless Night,"<indent=1em>:play:</indent><indent=2em>If your opponent has <nobr>0 Hero :attack:</nobr>, this card gains <nobr>+3 :attack:</nobr> this turn.</indent>"
Tutankhamun,HAE001,Ancient Egypt,History,Legendary,4,4,Curse of the Pharaohs,"<indent=1em>:return:</indent><indent=2em>If you are below 50% <nobr>:health:</nobr>, <nobr>Freeze :freeze:</nobr> two random cards in your opponent's hand next turn.</indent>"
Parasaurolophus,NDI008,Dinosaurs,Nature,Common,7,5,Family Crest,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+3 Hero :attack:</nobr>.</indent>
Harry Price,CTO014,The Occult,Culture,Common,5,0,Ghost Hunter,"<indent=1em>:draw:</indent><indent=2em>For every time you have played Harry Price this game, this card gains <nobr>+3 :attack:</nobr> and costs <nobr>-1 :energy:</nobr> permanently.</indent>"
Katherine Johnson,SST014,STEM Stars,Science,Common,3,1,Mission Critical,<indent=1em>:return:</indent><indent=2em>This card gains <nobr>+2 :attack:</nobr> permanently.</indent>
Pallas Cat,NFE009,Felines,Nature,Common,4,3,Stay Warm,"<indent=1em>:play:</indent><indent=2em>If played between two Felines cards, gain <nobr>+2 :shield:</nobr>.</indent>"
Zheng Yi Sao,HAP001,Age of Piracy,History,Legendary,7,4,Negotiations,"<indent=1em>:play:</indent><indent=2em>If you did not <nobr>Attack :attack:</nobr> last turn, your opponent loses <nobr>-8 :health:</nobr>.</indent>"
Dilophosaurus,NDI006,Dinosaurs,Nature,Rare,6,4,Doesn't Play Fetch,"<indent=1em>:return:</indent><indent=2em><nobr>Freeze :freeze:</nobr> 1 opponent card for 2 turns.</indent>
"
Gold,SPT016,The Periodic Table,Science,Fusion,7,3,Transition,<indent=1em>:draw:</indent><indent=2em>Copy a random non-Science card from either player's hand until played.</indent>
Honjo Masamune Sword,HFJ015,Feudal Japan,History,Common,8,4,Slice,<indent=1em>:return:</indent><indent=2em>This card costs <nobr>-4 :energy:</nobr> until played.</indent>
Thresher Shark,NSH001,Sharks,Nature,Legendary,7,5,School Meal,"<indent=1em>:play:</indent><indent=2em>All cards in both player's hands with a Base Attack of 4 or lower lose <nobr>-1 :attack:</nobr> this turn, and this card gains <nobr>+2 :attack:</nobr> permanently.</indent>"
Silicon,SPT013,The Periodic Table,Science,Common,5,4,Semiconductor,"<indent=1em>:play:</indent><indent=2em>If played between two Science cards, those cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
Pomegranate,CFD015,Food and Drink,Culture,Common,7,6,Seeding,"<indent=1em>:play:</indent><indent=2em>For every time you have played Pomegranate this game, your Food and Drink cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Oda Nobunaga,HHE002,Heroes of History,History,Hero,0,70,Great Unifier,"For every card you play this turn with 7 or more Base <nobr>:energy:</nobr>, gain <nobr>+3 Hero :attack:</nobr>. <nobr>[3 :charge:]</nobr>"
Beowulf,CLI003,Literature,Culture,Epic,6,4,Glory Before Death,"<indent=1em>:play:</indent><indent=2em>For every turn since you last <nobr>Attacked :attack:</nobr>, gain <nobr>+2 Hero :attack:</nobr>.</indent>"
Thomas Edison,SST013,STEM Stars,Science,Common,6,5,Current Events,<indent=1em>:draw:</indent><indent=2em>Your opponent's cards in hand cost <nobr>+1 :energy:</nobr> for 2 turns.</indent>
Crystal Ball,CTO006,The Occult,Culture,Rare,4,2,Clear Visions,"<indent=1em>:play:</indent><indent=2em>If your opponent has <nobr>20+ Hero :attack:</nobr>, restore <nobr>+8 :health:</nobr>.</indent>"
Arthur Conan Doyle,CLI016,Literature,Culture,Fusion,4,3,However Improbable,"<indent=1em>:return:</indent><indent=2em>If your deck contains any The Occult card, your Literature cards gain <nobr>+3 :attack:</nobr> next turn.</indent>"
Jules Verne,CLI004,Literature,Culture,Rare,5,5,Voyages extraordinaires,"<indent=1em>:draw:</indent><indent=2em>For every time you have played Jules Verne this game, <nobr>+1 :shield:</nobr>.</indent>"
Miyamoto Musashi,HFJ012,Feudal Japan,History,Common,3,2,Dual Wield,<indent=1em>:draw:</indent><indent=2em>Two random Feudal Japan cards cost <nobr>-1 :energy:</nobr> until played.</indent>
Ramesses II,HAE002,Ancient Egypt,History,Epic,5,4,Round Two,"<indent=1em>:draw:</indent><indent=2em>If you have played Ramesses II this game, restore <nobr>+5 :health:</nobr>.</indent>"
Great Fire of Rome,HRE009,The Roman Empire,History,Common,5,6,Magnum Incendium Romae,"<indent=1em>:draw:</indent><indent=2em>Your cards in hand <nobr>Burn :burn: (-1)</nobr> until played, and your opponent's cards in hand <nobr>Burn :burn: (-2)</nobr> until played.</indent>"
Tokugawa Ieyasu,HFJ002,Feudal Japan,History,Epic,10,10,Bakuhan,"<indent=1em>:draw:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> last turn, gain <nobr>+5 Hero :attack:</nobr>. If not, your Feudal Japan cards cost <nobr>-1 :energy:</nobr> this turn.</indent>"
Burrito,CFD005,Food and Drink,Culture,Rare,7,5,Stuffed,"<indent=1em>:return:</indent><indent=2em>If your opponent has <nobr>Attacked :attack:</nobr> 3+ times this game, restore <nobr>+10 :health:</nobr>.</indent>"
Polonium,SPT008,The Periodic Table,Science,Common,4,3,Extraction,<indent=1em>:play:</indent><indent=2em>Your Marie Curie card gains <nobr>+3 :attack:</nobr> this turn.</indent>
Hattori Hanzo,HFJ004,Feudal Japan,History,Rare,8,4,Rise to Power,<indent=1em>:return:</indent><indent=2em>Your Tokugawa Ieyasu card costs <nobr>-2 :energy:</nobr> permanently.</indent>
Earth,SHE004,Heroes of Science,Science,Hero,0,70,Home Turf,"For every turn completed this game, gain <nobr>+2 Hero :attack:</nobr>. <nobr>[2 :charge:]</nobr>"
